Resumption of the session	Reinício da sessão
I think that it is quite obvious, and this is the first conclusion that can be drawn from the Erika disaster, that public opinion would find it hard to understand that we regulate chocolate but do not regulate maritime transport.	Creio que é muito claro, e é esta a primeira conclusão que podemos tirar da catástrofe do Erika, que a opinião pública não compreenderia por que motivos sujeitamos o chocolate a regulamentação e não fazemos o mesmo com o transporte marítimo.
Public opinion would find it hard to understand that we talk about a common judicial area, common airspace, a common rail area and a single market, but not a common maritime area. I therefore believe that this is a project which must be opened up with the absolute will to see it followed through and followed through in concrete terms.	A opinião pública não compreenderia por que motivo se fala de espaço judiciário comum, de espaço aéreo comum, de espaço ferroviário comum, de mercado único, e não de espaço marítimo, que penso que é, hoje, uma tarefa que devemos começar com absoluta vontade de seguimento, e de seguimento concreto.
The Commissioner has suggested three main chapters which need to be drafted and brought into line with our legislation, in which we can set standards.	A senhora Comissária indicou-nos os três grandes capítulos a realizar: nivelamento da nossa legislação, onde podemos produzir a norma.
I have also noted, to my great satisfaction, that even the groups advocating greater national sovereignty, or the eurosceptic groups are calling for Europe to regulate, and I think that this is in fact the right level to take action.	Reparei aliás, para minha grande satisfação, que até os grupos «soberanistas Comissão da Política Regional, dos Transportes e do Turismo» ou eurocépticos querem que a Europa elabore regulamentação e creio, com efeito, que este é o nível adequado para o fazer.
We sometimes regulate things which could, by and large, remain subsidiary.	Por vezes elaboramos regulamentação para assuntos que poderiam, facilmente, ser subsidiários.
In this area we must respond to public opinion.	Neste sector, devemos dar resposta às opiniões públicas.
This is extremely important and everyone should feel concerned because we are, when all is said and done, on the global scale merely a peninsula.	Isto é muito importante e todos devem sentir-se implicados pois afinal, à escala do globo, somos uma península.
Therefore, once our legislation has been brought into line, we must follow this up immediately with appropriate law. We must also put in place systematic controls and finally apply the 'polluter pays' principle of responsibility which is, of course, supposed to be a deterrent.	É necessário, portanto, que haja um direito de seguimento, após o nivelamento da nossa legislação, é necessário também aplicar controlos sistemáticos e, finalmente, aplicar o princípio de responsabilidade poluidor-pagador que é, naturalmente, um princípio preventivo.
I have almost finished and I would like to say that I have personally requested a public hearing of the Committee on Transport, which would enable us to provide an immediate follow-up to the Erika case and to suggest possible future considerations.	Estou quase a acabar, mas gostaria de dizer que, pessoalmente, solicitei uma audição pública da Comissão da Política Regional, dos Transportes e do Turismo, que nos poderá permitir dar seguimento imediato ao dossier Erika e alimentar as nossas reflexões futuras.
I hope that all political groups will support us in our request for a public hearing.	Espero que todos os grupos políticos queiram apoiar-nos neste pedido de audição pública.
Mr President, the oil tanker Erika, the ownership of which is veiled by accommodation addresses on Malta and probably in Italy and Greece and which was hired by Total-Fina for the transport of oil, foundered off the Breton coastline, with disastrous consequences.	­ (NL) Senhor Presidente, o petroleiro cuja propriedade se oculta por detrás de firmas­fantasma de Malta e possivelmente da Itália e da Grécia, e alugado pela TotalFina para transporte de petróleo, naufragou ao largo da costa da Bretanha, com todas as consequências catastróficas daí decorrentes.
The implications for the environment and for the flora and fauna of the European maritime environment are enormous.	As consequências para o ambiente, para a flora e fauna marítimas europeias, são enormes.
